id,name,type,location,lat,lon
1,Cebu South Medical Center,Hospitals,Talisay,10.253780719586434,123.83846878657616
2,Simbajon Medical Clinic,Health Centers,Talisay,10.261654916331313,123.83701029448979
3,Gomez Clinic,Health Centers,Talisay,10.263132917531365,123.83997852396953
4,Talisay Rural Health Unit I,Health Centers,Talisay,10.261952910910981,123.80323957683486
5,Three Sixty Pharmacy,Pharmacies,Talisay,10.260597844202549,123.84067679386828
6,Mercury Drug,Pharmacies,Talisay,10.248985075376124,123.83885263708811
7,Rose Pharmacy Rabaya St. Tabunok,Pharmacies,Talisay,10.262769429503917,123.8410896506988
8,San Isidro Barangay Hall,Barangay Halls,Talisay,10.25962900515505,123.84045140740014
9,Tabunok Barangay Hall,Barangay Halls,Talisay,10.260840090439556,123.84356395596227
10,Lawa-an III Barangay Hall,Barangay Halls,Talisay,10.265211957347182,123.83143601715426
11,Jaclupan Barangay Hall,Barangay Halls,Talisay,10.300894161466399,123.81764355599479
12,Pooc Barangay Hall,Barangay Halls,Talisay,10.238373156641225,123.82470140634891
13,Poblacion Barangay Hall,Barangay Halls,Talisay,10.242418444752806,123.84833080023287
14,Linao Barangay Hall,Barangay Halls,Talisay,10.262573058483792,123.81804444372348
15,Gaisano Grand Fiesta Mall,Malls/Department Stores,Talisay,10.265547994525262,123.84232540300663
16,Gaisano Capital SRP,Malls/Department Stores,Talisay,10.257366214044552,123.85974771771588
17,Starmall ,Malls/Department Stores,Talisay,10.25881143511968,123.82360125029797
18,South Town Centre,Malls/Department Stores,Talisay,10.266866379905906,123.84332859419726
19,Tabunok Public Market,Markets,Talisay,10.26318008441158,123.83859506033333
20,Shopwell Talisay,Markets,Talisay,10.260916406087059,123.83857146272865
21,Robinsons Supermarket,Markets,Talisay,10.259612816911897,123.82969485124184
22,Talisay City Hall,City Halls,Talisay,10.25325673136384,123.82940434364212
23,St. Scholastica's Academy,Schools,Talisay,10.264769781506573,123.83659631968054
24,Talisay City College,Schools,Talisay,10.242928678781206,123.84830367330198
25,Asian College of Technology Bulacao,Schools,Talisay,10.271311264621465,123.84704331784924
26,Cebu Sacred Heart College,Schools,Talisay,10.258907661215552,123.8259387167817
27,Talisay City Science High School,Schools,Talisay,10.2448272740786,123.84423943522059
28,Talisay City Central Elementary School,Schools,Talisay,10.245367090228367,123.84454486194484
29,Sam's Place 2022 Sportsbar,Bars,Talisay,10.256982775530371,123.83037980066725
30,Muscle Cafe & Bar,Bars,Talisay,10.257790867352387,123.81963108674114
31,Talisay City Police Station,Police Stations,Talisay,10.242470492812643,123.84848732022476
32,Talisay City Fire Station,Fire Stations,Talisay,10.242585173367257,123.84822665740516
33,Sta. Teresa de Avila Church,Churches,Talisay,10.243853834993761,123.84769962520679
34,Bible Baptist Temple,Churches,Talisay,10.24928715883964,123.83755952965222
35,Mani Mogo Korean Restaurant with Daega,Restaurants,Talisay,10.258216027788421,123.82263982504989
36,Talisay Lechon,Restaurants,Talisay,10.24137768549822,123.84780513298335
37,King Crab Capital Seafoods Restaurant,Restaurants,Talisay,10.249762573030484,123.83688125328054
38,SamgyOppa UNLIMITED+,Restaurants,Talisay,10.256016894202652,123.83973552756427
39,Talisay City Plaza,Tourist Spots,Talisay,10.242492254665226,123.84880269889851
40,Museo de Talisay,Tourist Spots,Talisay,10.245671361157816,123.84464693315329
41,Crocolandia,Tourist Spots,Talisay,10.246558266652032,123.8339701639861
42,Villa Teresita Resort,Tourist Spots,Talisay,10.236196852465822,123.83222007743134
43,Aznar Beach Resort,Tourist Spots,Talisay,10.243301105724052,123.84980951851307
44,Camp 4 Bridge,Tourist Spots,Talisay,10.319710763239723,123.82075633829453
45,Kawasan Falls,Tourist Spots,Talisay,10.29082750628574,123.79142083198745
46,Igutan Falls,Tourist Spots,Talisay,10.305780565184312,123.81263302083211
47,Manipis Viewing Deck,Tourist Spots,Talisay,10.29579021800587,123.81855238146098
48,Talisay Cemetery,Cemeteries,Talisay,10.241702461215885,123.84359569078438
49,Cebu South Memorial Garden Inc,Cemeteries,Talisay,10.255833297367305,123.82315623951446
50,Minglanilla District Hospital,Hospitals,Minglanilla,10.249073509143942,123.80401533092564
51,Bever Maternity Clinic,Health Centers,Minglanilla,10.247635027130181,123.80020391191536
52,Mingnilla Main Health Center,Health Centers,Minglanilla,10.245718800583946,123.79552815104934
53,Minglanilla Municipal Hall,Barangay Halls,Minglanilla,10.246093192417206,123.79563417441247
54,Tungkil Barangay Hall,Barangay Halls,Minglanilla,10.244714792857577,123.8136833381446
55,Poblacion Ward I Barangay Hall,Barangay Halls,Minglanilla,10.24453085157597,123.79801524363353
56,Calajo-an Barangay Hall,Barangay Halls,Minglanilla,10.239682601792346,123.80255749515483
57,Tubod Barangay Hall,Barangay Halls,Minglanilla,10.263718971379825,123.79893661464276
58,Tunghaan Barangay Hall,Barangay Halls,Minglanilla,10.245524646982298,123.78083532442106
59,Minglanilla Police Station,Police stations,Minglanilla,10.245841894264924,123.79546005817002
60,Minglanilla Fire Station,Fire Stations,Minglanilla,10.24417498195027,123.7962109240057
61,Gaisano Grand Mall of Minglanilla,Malls/Department Stores,Minglanilla,10.244340222923116,123.79283782201179
62,Belmont One,Malls/Department Stores,Minglanilla,10.247294005860285,123.80007665805186
63,Archdiocesan Shrine of the Immaculate Heart of Mary,Churches,Minglanilla,10.246714822344938,123.79579966491745
