id,name,type,location,lat,lon
1,Lahug Barangay Hall,Barangay halls,Cebu City,10.32422868,123.8985402
2,University of the Philippines Cebu,Schools,Cebu City,10.3222492,123.898206
3,Azalea Place Cebu,Hotels,Cebu City,10.32113085,123.8992526
4,OYO 720 Alt Residences,Hotels,Cebu City,10.3252935,123.8976394
5,Department of Education Ecotech Center,Government Building,Cebu City,10.32524872,123.8960008
6,La Vie Parisienne,Restaurants,Cebu City,10.32618913,123.8981857
7,JY Square Mall,Malls/department stores,Cebu City,10.33059259,123.8988684
8,Lahug Market,Markets,Cebu City,10.33180167,123.899005
9,Anzani New Mediterranean Restaurant,Restaurants,Cebu City,10.33562292,123.896896
10,Ori Izakaya,Malls/department stores,Cebu City,10.33627969,123.8968049
11,Ford Cebu,Malls/department stores,Cebu City,10.33702602,123.8970477
12,Mercedes-Benz Cebu,Malls/department stores,Cebu City,10.33789847,123.8968255
13,BMW Cebu - Autowelt,Malls/department stores,Cebu City,10.33787684,123.8965318
14,Vespa Motors Cebu,Malls/department stores,Cebu City,10.33831491,123.8968167
15,Tops Korean Restobar,Restaurants,Cebu City,10.33953821,123.8963404
16,Chef Roche Galley,Restaurants,Cebu City,10.34101311,123.8966403
17,Marco Polo Plaza Cebu,Hotels,Cebu City,10.34167247,123.897531
18,Middle Nivel Hills Basketball Court,Sports complex,Cebu City,10.34260078,123.8970019
19,Ministry of Music and Performing Arts Academy,Schools,Cebu City,10.34149895,123.8951851
20,Palawan Pawnshop,,Cebu City,10.34303457,123.8954497
21,Maiquis Bread. Cakes. Pastries,Malls/department stores,Cebu City,10.34371996,123.8944531
22,NeuWater,,Cebu City,10.34440534,123.8937652
23,Aqua Purified Drinking Water,,Cebu City,10.34502999,123.8933596
24,Cebuana Lhuillier,,Cebu City,10.34601035,123.893483
25,Cebu Hilltop Hotel,Hotels,Cebu City,10.34649619,123.8938534
26,Talisay Water Lab,,Cebu City,10.34493456,123.8926276
27,Iglesia Ni Cristo - Lokal ng Nivel Hills,Churches,Cebu City,10.34332087,123.892072
28,Waterfront Cebu City Hotel & Casino,Hotels,Cebu City,10.32482714,123.9045632
29,Department of Public Works and Highways,Government Building,Cebu City,10.32637317,123.9044135
30,Barangay Seoul Express,Restaurants,Cebu City,10.32982104,123.9055609
31,BOSS Manok,Restaurants,Cebu City,10.32989466,123.9005472
32,YelloCube Food Hub,Restaurants,Cebu City,10.33212777,123.9003601
33,University of Southern Philippines Foundation,Schools,Cebu City,10.32849085,123.9009943
34,MARINA Regional Office VII,Government Building,Cebu City,10.33020392,123.8944141
35,Cebu City Jail Male Dormitory,Government Building,Cebu City,10.33512744,123.8814192
36,Cebu Provincial Detention and Rehabilitation Center,Government Building,Cebu City,10.33393096,123.8814934
37,Our Lady of Guadalupe Shrine,Churches,Cebu City,10.3333619,123.8833325
38,Water Buffalo golf Club,Sports complex,Cebu City,10.3280798,123.8945603
39,Cebu Taoist Temple,Tourist spots,Cebu City,10.33426083,123.887979
40,TV5 Cebu - Studio,,Cebu City,10.33538435,123.8845084
41,Boy Scouts of the Philippines- Camp Marina Grounds,Government Building,Cebu City,10.3388796,123.8846206
42,Golden Valley Homes - Basketball Court,Sports complex,Cebu City,10.34289172,123.8887364
43,Cebu Pelis Institute,Hotels,Cebu City,10.34252689,123.892228
44,Beverly View Events Pavilion,Hotels,Cebu City,10.33875217,123.8885862
45,Boy Scouts of the Philippines - Eastern Visayas Region,Government Building,Cebu City,10.34099054,123.8841766
46,VICTO National Cooperative Federation and Development Center,Government Building,Cebu City,10.33156845,123.8925371
47,Civil Service Commission - Region 7,Government Building,Cebu City,10.32809799,123.8956767
48,Commission on Higher Education Region 7,Government Building,Cebu City,10.32646686,123.8957296
49,Department of the Interior and Local Government - Region 7,Government Building,Cebu City,10.32695273,123.8966644
50,The Median,Hotels,Cebu City,10.32706483,123.901766
51,La Guardia International Hotel,Hotels,Cebu City,10.32866409,123.9034546
52,Cebu Aeronautical Technical School,Schools,Cebu City,10.32831328,123.9026365
53,Technical Education and Skills Development Authority - Regional Office VII,Government Building,Cebu City,10.32596082,123.9065275
54,Big+Plus Mart,Malls/department stores,Cebu City,10.32905616,123.9019758
55,Cebu City Philippines Temple,Churches,Cebu City,10.32751881,123.8982317
56,Lahug Elementary School,Schools,Cebu City,10.32474277,123.8985917
57,Lahug Christian School,Schools,Cebu City,10.32605733,123.8978628
58,Silogan ni Gian,Restaurants,Cebu City,10.32908532,123.8976335
