id,name,type,location,lat,lon
0,Alcantara Municipal Hall,Municipal Halls,Alcantara,9.970343842,123.4022381
1,Kugtong Spring,Tourist Spots,Alcantara,9.971046699,123.4045866
2,Saint Augustine Parish,Churches,Alcantara,9.969401626,123.4036673
3,Alegria Municipal Hall,Municipal halls,Alegria,9.729394617,123.3401148
4,Cambais Falls,Tourist Spots,Alegria,9.748387385,123.3892513
5,Montepellier Falls,Tourist Spots,Alegria,9.723129003,123.3573636
6,Aloguinsan Municipal Hall,Municipal Halls,Aloguinsan,10.22329869,123.5482623
7,Bojo River Cruise,Tourist Spots,Aloguinsan,10.20598777,123.5450666
8,Saint Raphael the Archangel Parish,Churches,Aloguinsan,10.2204904,123.5496212
9,Argao Municipal Hall,Barangay Halls,Argao,9.881199169,123.6086297
10,Philippine Science High School - Central Visayas Campus,Schools,Argao,9.89951538,123.5859571
11,Liki Spring,Tourist Spots,Argao,9.951965051,123.6155244
12,Asturias Municipal Hall,Municipal Hall,Asturias,10.56756158,123.7156121
13,Asturias Airstrip,Airports,Asturias,10.53946441,123.746161
14,Bago Health Center,Health Centers,Asturias,10.62569022,123.763959
15,Badian Municipal Hall,Municipal Halls,Badian,9.870155264,123.3987773
16,Kawasan Falls,Tourist Spots,Badian,9.802320908,123.3743115
17,St. James Parish,Churches,Badian,9.870216733,123.3999919
18,Balamban Municipal Hall,Municipal Hall,Balamban,10.5060407,123.713259
19,Balamban Provincial Hospital,Hospitals,Balamban,10.51555127,123.7028358
20,Gaisano Grand Mall Balamban,Malls/department stores,Balamban,10.49326799,123.7147048
21,Bantayan Municipal Hall,Municipal Hall,Bantayan,11.16658593,123.7176231
22,Casa de Antiguedades,Tourist spots,Bantayan,11.17579159,123.7249247
23,Bantayan Public Market,Markets,Bantayan,11.16595019,123.7180375
24,Barili Municipal Hall,Municipal Halls,Barili,10.11631227,123.5097415
25,St. Anne Parish,Churches,Barili,10.12187867,123.5393259
26,Bogo City Hall,City halls,Bogo,11.04659032,123.9794421
27,Cebu Provincial Hospital (Bogo City),Hospitals,Bogo,11.04665301,123.9942467
28,Bogo Pantalan,Ports,Bogo,11.05528781,124.0025286
29,Archdiocesan Shrine of St. Vincent Ferrer,Churches,Bogo,11.04851711,124.0081079
30,Borbon Municipal Hall,Municipal Hall,Borbon,10.83787664,124.0309098
31,Poblacion Brgy Hall,Barangay halls,Borbon,10.83821113,124.0273502
32,Cadaruhan Barangay Hall,Barangay halls,Borbon,10.84645725,124.0360435
33,Lahug Barangay Hall,Barangay halls,Brgy. Lahug,10.32422868,123.8985402
34,JY Square Mall,Malls/department stores,Brgy. Lahug,10.33059259,123.8988684
35,University of the Philippines Cebu,Schools,Brgy. Lahug,10.3222492,123.898206
36,Carmen Municipal Hall,Municipal Hall,Carmen,10.58748729,124.017341
37,Luyang Barangay Hall,Barangay halls,Carmen,10.60501695,124.02476
38,Carmen Rural Health Unit,Health Centers,Carmen,10.58771906,124.0174319
39,Catmon Municipal Hall,Municipal Hall,Catmon,10.72348318,124.0134878
40,Catmondaan Barangay Hall,Barangay halls,Catmon,10.68674452,124.0153363
41,Catmon Health Center,Health Centers,Catmon,10.7218649,124.0139682
42,"City Hall, Cebu City, Cebu",City halls,Cebu City,10.29295873,123.9015526
43,Talamban Barangay Hall,Barangay halls,Cebu City,10.36999562,123.9184437
44,Cebu City Medical Center,Health Centers,Cebu City,10.298447,123.8936293
45,University of Cebu Medical Center - UCMed,Hospitals,Cebu City,10.32321481,123.9302047
46,Perpetual Succour Hospital,Hospitals,Cebu City,10.31556317,123.9004102
47,Compostela Municipal Hall,Municipal Hall,Compostela,10.45404848,124.0125571
48,Barangay Cogon Barangay Hall,Barangay halls,Compostela,10.45795549,124.0093837
49,Compostela Birthing Center,Health Centers,Compostela,10.47194488,123.9967859
50,Consolacion Municipal Hall,Municipal Hall,Consolacion,10.37581859,123.9572968
51,Pitogo Barangay Hall,Barangay halls,Consolacion,10.38301209,123.9718162
52,Consolacion Municipal Health Center,Health Centers,Consolacion,10.37854104,123.9675271
53,Cordova Municipal Hall,Municipal Hall,Cordova,10.25202794,123.9496945
54,Gabi Barangay Hall,Barangay halls,Cordova,10.26360845,123.9616483
55,Ibabao Barangay Hall,Barangay halls,Cordova,10.27080679,123.9472292
56,Daanbantayan Municipal Hall,Municipal Hall,Daanbantayan,11.25037675,123.9982622
57,Daanbantayan District Hospital,Hospitals,Daanbantayan,11.24570066,124.0105793
58,Daanbantayan Municipal Health Office and Birthing Center,Health Centers,Daanbantayan,11.25067614,123.9989892
